feature,feature_display,neutral_normalized,general_normalized,popular_normalized,engaging_normalized,informative_normalized,controversial_normalized
primary_topic,Content: Primary Topic,0.874268895207744,-1.6881188744048352,1.4176442207015911,0.009904199956043446,-0.0004324730161151599,-0.6132659684444283
author_ideology,Author: Ideology,-0.7790237335434871,1.4572663874776164,0.32068902656359616,0.12226147710884572,0.5626065038199921,-1.6837996614265625
author_race,Author: Race,-1.1542060287183438,0.2475468919455244,-0.634448570850192,1.970713850897559,0.1228433330639983,-0.5524494763385432
author_age,Author: Age,-0.6383998280781727,-0.5119155985472077,1.918263537988814,-0.03623325979126532,0.46529746867574495,-1.197012320247914
author_income,Author: Income,-0.3063975310156132,0.24976771343120285,-1.3372855963766483,-0.9943431965377383,1.521845560740903,0.8664130497578836
author_gender,Author: Gender,0.3318301158303849,0.29149483233059664,-0.17754746027886228,0.17822051582534915,1.3533759003416488,-1.977373904049119
author_religiosity,Author: Religiosity,-1.283432824720929,0.285436659723657,1.9648546864846137,-0.5787355072932875,-0.20851201294545482,-0.17961100124859747
author_marital_status,Author: Marital Status,-0.8571480068337896,-0.5089592991151196,-0.8929621562350798,0.130949740277006,0.08240775763639384,2.0457119642705885
author_education,Author: Education,0.07474557070837819,1.6438167775307826,-1.7395133377107925,0.21858948272834544,0.21666530174621698,-0.41430379500292713
author_partisanship,Author: Partisanship,1.6257711040650942,-1.570599210372091,-0.21555406139162547,0.6118281951412589,-0.6543180358380155,0.20287200839538316
sentiment_subjectivity,Sentiment: Subjectivity,0.2676064597892739,-1.3274952019326511,-0.283587831130472,0.543037666225279,-0.9170656493789536,1.717504556427527
sentiment_polarity,Sentiment: Polarity,1.8885087042450086,-0.27172199869786307,-1.3774568411650876,0.2994989026884894,0.06781466868219274,-0.6066434357527419
polarization_score,Content: Polarization Score,-1.1828896291859425,0.8805677330197849,0.45931164049775414,1.3395742610355656,-0.1566341776547396,-1.339929827712423
toxicity,Toxicity: Toxicity,0.43618183283856904,-1.5966563117624337,-0.6072223168573428,0.8284610699047755,1.4088424021172377,-0.46960667624080377
